DATE,ACCOUNT_VALUE,CLIENT_INPUT_MONEY
250801,84528,0
2500802,84417,0
250803,84395,0
250804,84395,0
250805,84315,0
250806,84248,0
250807,84018,0
250808,83876,0
250809,83802,0
250810,83873,0
